periodo,codigo_serie,perfil,imp_hist
2025-01,ALCOHOL 70% 500ML,IPU,0.2
2025-01,ALCOHOL 70% 500ML,OSP,17354.2
2025-01,ALCOHOL 70% 500ML GATILLO,DRO,25463.41
2025-01,ALCOHOL 70% 500ML GATILLO,FAR,615675.2679999999
2025-01,ALCOHOL 70% 500ML TAPA FLIP TOP,COM,13351.9
2025-01,ALCOHOL 70% 500ML TAPA FLIP TOP,DRO,81580.12
2025-01,ALCOHOL 70% 500ML TAPA FLIP TOP,FAR,2332844.21
2025-01,ALCOHOL 70% 500ML TAPA FLIP TOP,IPR,364948.8
2025-01,ALCOHOL BORICADO 1000ML,FAR,833016.76
2025-01,ALCOHOL BORICADO 100ML,DRO,9884.58
2025-01,ALCOHOL BORICADO 100ML,FAR,3117396.8294
2025-01,ALCOHOL BORICADO 60ML,DRO,8644.72
2025-01,ALCOHOL BORICADO 60ML,FAR,2268957.8112
2025-01,ALCOHOL BORICADO 60ML,IPR,1023.54
2025-01,ALCOHOL BORICADO 60ML,PER,637.52
2025-01,ALCOHOL BORICADO GOTERO X 100 ML,FAR,1108957.054
2025-01,ALCOHOL EN GEL 1000ML,FAR,191537.66999999998
2025-01,ALCOHOL EN GEL 1000ML,IPR,138456.72
2025-01,ALCOHOL EN GEL 250ML,DRO,145353.16999999998
2025-01,ALCOHOL EN GEL 250ML,FAR,899132.02
2025-01,ALCOHOL EN GEL 250ML,IPR,398566.32
2025-01,ALCOHOL EN GEL 500ML,DPM,24182.82
2025-01,ALCOHOL EN GEL 500ML,DRO,23633.1
2025-01,ALCOHOL EN GEL 500ML,FAR,274003.92
2025-01,ALCOHOL EN GEL 500ML,IPR,147236.16
2025-01,ALCOHOL EN GEL 60ML,FAR,819197.86
2025-01,ALCOHOL EN GEL ALOE 60GR,FAR,187150.09
2025-01,ALCOHOL EN GEL C/GLICERINA 1000ML,DRO,58762.95
2025-01,ALCOHOL EN GEL C/GLICERINA 1000ML,FAR,73453.68000000001
2025-01,ALCOHOL EN GEL C/GLICERINA 1000ML,IPR,167894.01
2025-01,ALCOHOL EN GEL C/GLICERINA 1000ML C/DOSIF,IPR,153310.74
2025-01,ALCOHOL EN GEL C/GLICERINA 250ML,DRO,69752.7
2025-01,ALCOHOL EN GEL C/GLICERINA 250ML,FAR,917571.6
2025-01,ALCOHOL EN GEL C/GLICERINA 250ML,IPR,597489.25
2025-01,ALCOHOL EN GEL C/GLICERINA 250ML,IPU,37749269.25
2025-01,ALCOHOL EN GEL C/GLICERINA 250ML C/DOSIF,FAR,45705.6
